,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019","Month Summary:Oct, 2019"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2019-10-01,5,,,,,,1,,,,,,,,,,,,,,,,1
4,2019-10-02,2,,,,,,,,,,,,,,,,,,,,,,0
5,2019-10-03,0,,,,,,,,,,,,,,,,,,,,,,0
6,2019-10-04,6,,938,,4,,20,6,1,,1,43,,,2,1,,,1,,,,1017
7,2019-10-05,4,,52,,,,,,,,,,,,,,,,,,,,52
8,2019-10-06,6,,,,,,,,,,,,,,,,,,,,,,0
9,2019-10-07,5,,,1,,,1,,,,,2,,,,,,,,,,,4
10,2019-10-08,4,,40,,4,,1,1,,,,2,,,,,,,,,,,48
11,2019-10-10,2,,4,,,,,,,,,,,,,,,,,,,,4
12,2019-10-12,2,,,,,,1,,,,,2,,,,,,,,,,,3
13,2019-10-13,2,,,,,,,1,,,,2,,,,,,,,,,,3
14,2019-10-14,3,,17,,,,1,,,,,,,,,,,,,,,,18
15,2019-10-15,5,,5,,,,,,,,,,,,,,,,,,,,5
16,2019-10-16,0,,,,,,,,,,,,,,,,,,,,,,0
17,2019-10-17,3,,6,,,1,2,,,,,,,,,1,,,,,,,10
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2019-10-18,7,,988,,7,5,101,6,,21,,64,1,1,7,,1,,1,,1,1,1205
20,2019-10-19,2,,5,,,,,,,,,,,,,,,,,,,,5
21,2019-10-20,5,,64,,,,,,,,,2,,,,,,,,,,,66
22,2019-10-21,4,,1,,,,,,,,,,,,,,,,,,,,1
23,2019-10-22,0,,,,,,,,,,,,,,,,,,,,,,0
24,2019-10-23,4,,,,,,,,,,,,,,,,,,,,,,0
25,2019-10-24,4,,5,,,,1,,,,,,,,,,1,,,,,,7
26,2019-10-25,4,,,,,1,,1,,,,,,,,,,,,,,,2
27,2019-10-26,4,,5,,,1,,2,,,,11,,,,,,,,,,,19
28,2019-10-27,0,,,,,,,,,,,,,,,,,,,,,,0
29,2019-10-28,4,,,,,,,,,,,,,,,,,,,,,,0
30,2019-10-29,3,,,,,,,,,,,,,,,,,,,,,,0
31,2019-10-30,0,,,,,,,,,,,,,,,,,,,,,,0
32,2019-10-31,0,,,,,,,,,,,,,,,,,,,,,,0
33,Total: Oct 2019,90 hours,0,2130,1,15,8,129,17,1,21,1,128,1,1,9,2,2,0,2,0,1,1,2470
34,Total: Fall 2019,214 hours,0,2256,18,48,17,459,79,1,33,449,457,13,5,111,14,15,7,8,0,2,6,3998
