,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014","Month Summary:Sep, 2014"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2014-09-01,6,,,,,,2,1,,,,,,,,,,,,,,1,4
4,2014-09-02,3,,,,,,,1,,,,,,,,,,,,,,,1
5,2014-09-03,6,,,1,,,4,1,,,,,,,,1,,,,,,1,8
6,2014-09-04,6,,,,,,31,2,,,,2,,,1,1,,,,,,,37
7,2014-09-05,3,,,,,,4,,,,,,,,,,,,,,,,4
8,2014-09-06,7,,,1,5,,59,2,,1,,22,,,5,,,3,,,,2,100
9,2014-09-07,4,,1,1,3,,10,,,,2,1,,,2,,,,1,,,1,22
10,2014-09-08,3,,,,,,,,,,,,,,,,,,,,,,0
11,2014-09-09,3,,,,,,1,,,,,,,,,,,,,,,,1
12,2014-09-10,3,,,,,,,,,,,,,,,,,,,,,,0
13,2014-09-11,7,,,1,2,3,46,3,,,1,5,,,2,,,,1,,,1,65
14,2014-09-12,6,,6,2,7,1,58,3,,,24,22,,,8,2,1,,,1,,1,136
15,2014-09-13,4.5,,1,,1,,15,4,,,4,4,,,,1,,,,,,1,31
16,2014-09-14,4.25,,,2,4,1,26,2,,,5,1,,,2,,,1,2,,,1,47
17,2014-09-15,5,,1,1,,,3,,,,,2,,,,1,,,,,,,8
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2014-09-16,8,,60,2,7,,143,14,,259,1330,12,,,17,2,3,,2,,,,1851
20,2014-09-17,5,,34,1,1,1,27,1,,,15,3,,,3,1,,,,,,1,88
21,2014-09-18,6,,60,2,11,7,184,15,,,634,15,,,23,3,1,,,,,1,956
22,2014-09-19,3,,1,,,,4,,,,,2,,,,,,,,,,,7
23,2014-09-21,1.5,,,,,,1,1,,,,,,,,,,,,,,,2
24,2014-09-22,6,,27,,4,3,196,14,,,142,10,,,8,1,,,,,,,405
25,2014-09-23,5,,38,,,,46,5,,,24,7,,,3,,,,,,,,123
26,2014-09-24,5,,,,1,,1,,,,,,,,,,,,,,,,2
27,2014-09-25,3,,,,,,2,,,,,1,,,,,,,,,,,3
28,2014-09-26,6,,,,,,3,2,,,1,1,,,1,,,,,,,,8
29,2014-09-27,4,,12,,1,,13,3,,,,1,,,1,,,,1,,,,32
30,2014-09-28,2.75,,,,,,5,2,,,,,,,,,1,,,,,,8
31,2014-09-29,4,,1,1,,4,,,,,,,,,,,,,,,,,6
32,2014-09-30,3,,1,,,3,,,,,,,,,,,,,,,,,4
33,Total: Sep 2014,133 hours,0,243,15,47,23,884,76,0,260,2182,111,0,0,76,13,6,4,7,1,0,11,3959
34,Total: Fall 2014,133 hours,0,5237,20,75,50,1629,122,16,400,2191,1348,12,8,151,20,14,10,74,7,3,24,11411
